Aube|7|11|387_GG_07_135|Saint-Jean (TROYES)|1600 - 1649|Baptême_Mariage|288|https://www.archives-aube.fr/_recherche-images/download/397093/image/66991/0/full/max/0/default.jpg
Aube|7|38|387_GG_07_29|Saint-Jean (TROYES)|1661 - 1666|Baptême|167|https://www.archives-aube.fr/_recherche-images/download/396585/image/64934/0/full/max/0/default.jpg
Aube|7|59|387_GG_TA_09|Saint-Jean (TROYES)|1681 - 1690|Baptême|155|https://archives-aube.fr/_recherche-images/download/396285/image/66277/0/full/max/0/default.jpg
Aube|7|78|387_GG_07_60|Saint-Jean (TROYES)|1699 - 1702|Baptême_Mariage_Sépulture|101|https://archives-aube.fr/_recherche-images/download/394974/image/64967/0/full/max/0/default.jpg
Aube|7|93|387_GG_07_68|Saint-Jean (TROYES)|1721 - 1725|Baptême_Mariage_Sépulture|126|https://archives-aube.fr/_recherche-images/download/394982/image/64975/0/full/max/0/default.jpg
Aube|8|4|387_GG_TA_45|Saint-Jean (TROYES)|1731 - 1740|Décès|142|https://www.archives-aube.fr/_recherche-images/download/396928/image/66826/0/full/max/0/default.jpg
Aube|8|38|387_GG_07_101|Saint-Jean (TROYES)|1759 - 1759|Baptême_Mariage_Sépulture|89|https://www.archives-aube.fr/_recherche-images/download/395015/image/65008/0/full/max/0/default.jpg
Aube|8|49|387_GG_07_109|Saint-Jean (TROYES)|1767 - 1767|Baptême_Mariage_Sépulture|81|https://www.archives-aube.fr/_recherche-images/download/395023/image/65016/0/full/max/0/default.jpg
Aube|8|65|387_GG_07_123|Saint-Jean (TROYES)|1781 - 1781|Baptême_Mariage_Sépulture|90|https://archives-aube.fr/_recherche-images/download/395036/image/65029/0/full/max/0/default.jpg
Aube|8|78|387_GG_07_133|Saint-Jean (TROYES)|1791 - 1791|Baptême_Mariage_Sépulture|146|https://www.archives-aube.fr/_recherche-images/download/395046/image/65039/0/full/max/0/default.jpg
Aube|8|93|387_GG_08_03|Saint-Loup (TROYES)|1670 - 1670|Baptême_Mariage_Sépulture|7|https://www.archives-aube.fr/_recherche-images/download/395050/image/65043/0/full/max/0/default.jpg
Aube|8|96|387_GG_TA_39|Saint-Loup (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396827/image/66725/0/full/max/0/default.jpg
Aube|8|97|387_GG_TA_09|Saint-Loup (TROYES)|1681 - 1690|Baptême|155|https://www.archives-aube.fr/_recherche-images/download/396286/image/66278/0/full/max/0/default.jpg
Aube|9|6|387_GG_TA_12|Saint-Loup (TROYES)|1711 - 1720|Baptême|118|https://www.archives-aube.fr/_recherche-images/download/396337/image/66329/0/full/max/0/default.jpg
Aube|9|13|387_GG_TA_30|Saint-Loup (TROYES)|1731 - 1740|Mariage|33|https://www.archives-aube.fr/_recherche-images/download/396705/image/66603/0/full/max/0/default.jpg
Aube|9|14|387_GG_TA_45|Saint-Loup (TROYES)|1731 - 1740|Décès|142|https://www.archives-aube.fr/_recherche-images/download/396929/image/66827/0/full/max/0/default.jpg
Aube|9|60|387_GG_11_01|Saint-Martin (TROYES)|1721 - 1730|Baptême_Mariage_Sépulture|140|https://www.archives-aube.fr/_recherche-images/download/397106/image/67004/0/full/max/0/default.jpg
Aube|9|72|387_GG_11_04|Saint-Martin (TROYES)|1751 - 1760|Baptême_Mariage_Sépulture|172|https://www.archives-aube.fr/_recherche-images/download/397109/image/67007/0/full/max/0/default.jpg
Aube|9|82|387_GG_TA_19|Saint-Martin (TROYES)|1781 - 1792|Naissance|254|https://www.archives-aube.fr/_recherche-images/download/396459/image/66451/0/full/max/0/default.jpg
Aube|10|2|387_GG_11_25|Saint-Martin (TROYES)|1796 - 1797|Naissance_Mariage_Décès|71|https://www.archives-aube.fr/_recherche-images/download/397130/image/67028/0/full/max/0/default.jpg
Aube|10|9|387_GG_11_86|Saint-Martin (TROYES)|1802 - 1853|Baptême_Mariage_Sépulture|160|https://www.archives-aube.fr/_recherche-images/download/397191/image/67089/0/full/max/0/default.jpg
